,strain_id,strain,type,Rating,effects,description,Flavors
967,967,haoma,indica,4.55,"relaxed, happy, sleepy, hungry, uplifted","a cross between the purps and afghani, haoma is a 70% indica strain with calming, stress-relieving effects. haoma’s dense, compact buds have a fruity, floral aroma and melt away anxiety, pain, inflammation, and muscle spasms according to many patients. testament to this strain’s quality are the several trophies haoma has taken home in both flower and concentrate form. some haoma variants are bred to contain a higher level of cbd to help patients needing extra full-body relief. a good strain for novice growers, haoma is cultivated both outdoors and in with a flowering period of 7 to 8 weeks. ","citrus, flowery, earthy"
843,843,ghost cookies,hybrid,4.55,"sleepy, happy, relaxed, uplifted, giggly","ghost cookies from deschutes growery is a hybrid cross between ghost og and girl scout cookies. this strain retains most of its dark, broad-leaf indica foliage while expressing creative and uplifting effects in consumers. ghost cookies holds on to the doughy aroma cookies is famous for while turning up the volume on notes of hash and sweetness.","berry, earthy, blueberry"
973,973,harley storm,sativa,4.55,"relaxed, uplifted, creative, euphoric, happy","harley storm by cannavative is a complex union of cbd-rich parent strains. by crossing harle-tsu and thunderstruck, this aptly named strain takes on mild cerebral effects while remaining primarily medicinal. harley storm offers consumers an uplifting headiness with alert stimulation while reducing inflammation and pain. consume this strain’s massive 22:1 cbd/thc ratio on its own or as a supplementary addition to other strains.","spicy/herbal, sweet, tropical"
642,642,desert star,hybrid,4.55,"hungry, sleepy, tingly, uplifted, creative","desert star is a sweet and earthy 50/50 hybrid cannabis strain that offers a motivating, upbeat buzz to keep you productive and stress-free. exclusively available at encanto green cross under the “chong certified” label, desert star is a treat for all the senses as it shimmers with a constellation of crystal-tipped trichomes.",earthy
1848,1848,sinai,sativa,4.55,"euphoric, uplifted, relaxed, talkative, happy","sinai, also known as red sea, is an egyptian landrace strain cultivated on the sinai peninsula by the indigenous bedouin population. there are two known phenotypes of the variety: a shorter tree-like indica expression and a taller sativa-like vine that is easier to train. both emit a pungent aroma, but the dense indica pheno adds a skunky note to the mix. originally sinai was fertilized using mud from the nile river or fresh camel dung, and was grown to produce hash using the traditional methods that have been practiced in the middle east for centuries. the resulting effects are euphoric, blissful, and offer an array of therapeutic benefits.","menthol, spicy/herbal, pepper"
977,977,harry potter,hybrid,4.55,"relaxed, happy, uplifted, creative, giggly","harry potter is an otherworldly hybrid strain that crosses blissful wizard with fire alien kush. bred by sasquatch gardens in california, harry potter casts a pacifying spell over the body, easing aches and pains while hushing anxiety. ","sweet, citrus, lemon"
243,243,blackberry cream,indica,4.55,"relaxed, happy, uplifted, sleepy, euphoric","blackberry cream from exotic genetix combines the sweet berry terpenes of blackberry kush with the smooth creamy notes of cookies and cream. this 70% indica hybrid produces thc levels up to 25%, above average yields, and is an excellent choice for hash making.","berry, sweet, vanilla"
841,841,georgia pine,hybrid,4.55,"euphoric, uplifted, energetic, happy, relaxed","georgia pine by swamp boys seeds is a complex, terpene-rich hybrid with a bouquet like no other. a cross between killer queen g13 and william’s wonder, georgia pine yields aromatic notes of gasoline and black licorice wrapped in the scent of wild watermelon. this strain has been known to produce a healthy yield with a thc percentage upwards of 20%. ","sweet, flowery, pine"
124,124,arcticblue,hybrid,4.55,"happy, uplifted, euphoric, energetic, relaxed","arcticblue is a 60/40 indica-dominant hybrid cannabis strain cultivated by arcticblue farms. bred using dj short’s blueberry and another blueberry indica, you are immediately struck with the sweet and fruity scent of ripe blueberries. patients may look to this strain to help suppress anxiety and relieve pain.","blueberry, sweet, earthy"
998,998,hawaii 78,sativa,4.55,"creative, euphoric, happy, relaxed, sleepy","hawai’i ‘78 is a hawaiian landrace sativa, also known as the sweet lady of waiāhole. this strain originated on the island of o’ahu, near where the film jurassic park was shot. according to sources, hawai’i ‘78 even became a favorite with the production crew while on site. this strain represents old school hawaiian genetics and stimulates while imbuing the consumer with a content, mellow haze.","pineapple, sweet, tropical"
1008,1008,heaven scent,hybrid,4.55,"creative, energetic, euphoric, focused, happy","heaven scent is a hybrid cannabis strain bred by mtg seeds that crosses genetics from god’s gift and green crack. the polar opposite effects of its indica and sativa parents meet halfway, delivering you to a balanced state of blissful, relaxed happiness. its buds express themselves in hues that range from deep blue to dark purple.","minty, sweet, tropical"
1011,1011,hell raiser og,hybrid,4.55,"relaxed, euphoric, uplifted, talkative, happy","hell raiser og, bred by archive seed bank, is a 60% indica-dominant cross between fire og and face off og. after its 72-day flowering time indoors, hell raiser og produces round, crystal covered buds that show off its og lineage through a sour lemon and pine aroma. hell raiser og took 1st place in the concentrates category of the 2014 high times san francisco cannabis cup.","pine, citrus, spicy/herbal"
1824,1824,shining silver haze,sativa,4.55,"talkative, uplifted, relaxed, euphoric, hungry","shining silver haze is royal queen seeds’ version of super silver haze. created through a ceaseless pursuit of quality haze genetics, shining silver haze blends classic early 70’s haze effects into a modern, high-potency, heavy yielding strain. the onset of this strain is primarily cerebral, offering an uplifting buzz that takes the edge of repetitive tasks or chores. the bouquet is sweet and spiced, offering traditional haze notes overlaid with a hint of pepper. enjoy this sativa-dominant strain throughout the day to jumpstart euphoria and enhance mood.   ","tropical, mango, pine"
70,70,alien asshat,hybrid,4.55,"euphoric, creative, giggly, relaxed, happy","alien asshat is a hybrid cannabis strain grown by sky high gardens in washington. with a staggeringly high thc content, alien asshat launches you into the cosmos with a powerful euphoric blast. its buds are a tangle of green calyxes and leaves wrapped in a constellation of shining crystal resin. if you’re new to cannabis, be sure to start small with this heavy-hitter.","pungent, citrus, earthy"
257,257,blissful wizard,hybrid,4.55,"happy, talkative, euphoric, relaxed, uplifted","blissful wizard by the captain’s connection is a potent hybrid strain that crosses captains cookies and girl scout cookies in a decadent fusion of lemon, lime, and cream flavors. with a soaring thc content that won this strain 1st place in the 2015 socal cannabis cup as a non-solvent hash, blissful wizard is the only healing potion you’ll need to eliminate stubborn aches, pains, nausea, and appetite loss. this flavorful hybrid helps conjure a happy headspace in which life’s stressors are obliterated by a blast of otherworldly euphoria.  ","earthy, vanilla, pungent"
840,840,gemstone,hybrid,4.55,"happy, relaxed, focused, euphoric, uplifted","gemstone is a coveted hybrid strain with a complex genetic background that combines skunk #1, northern lights, lavender, and sour diesel. emerald green hues intermix with amethyst purples underneath a shimmering coat of crystal trichomes. as enticing as its exterior is gemstones aroma: a fragrant blend of flowery sweetness. with relaxing effects that begin in the body, gemstone works its way up over time to a euphoric, energetic peak. patients treating anxiety and pain often choose this hybrid as their go-to daytime medication, as it allows a good degree of functionality alongside potent relief. ","citrus, flowery, earthy"
1019,1019,higher power,sativa,4.55,"creative, uplifted, energetic, focused, happy",higher power is a cross between the hybrid strain geezus and the sativa african queen bred by wild oregon weed.  it has a delicious odor akin to grape froot loops and has been measured at 24% thc.  this sativa offers a truly stimulating high that will leave you energized and bursting with creativity. ,"grape, flowery, tree, fruit"
